Datetime,Close,Position
2018-01-02 9:00,736.4,0
2018-01-02 9:30,735.8,0
2018-01-02 10:00,737,0
2018-01-02 10:30,737.9,0
2018-01-02 11:00,738.9,0
2018-01-02 11:30,738.9,0
2018-01-02 13:00,740.6,0
2018-01-02 13:30,741.6,0
2018-01-02 14:00,746.5,0
2018-01-02 14:30,748.5,1
2018-01-03 9:00,753.3,1
2018-01-03 9:30,754.2,1
2018-01-03 10:00,754.9,1
2018-01-03 10:30,754.2,-1
2018-01-03 11:00,757.6,-1
2018-01-03 13:00,758.6,-1
2018-01-03 13:30,756.5,-1
2018-01-03 14:00,756.3,-1
2018-01-04 9:00,760.3,-1
2018-01-04 9:30,760.9,-1
2018-01-04 10:00,761.2,-1
2018-01-04 10:30,762.3,-1
2018-01-04 11:00,762.7,1
2018-01-04 11:30,763.1,1
2018-01-04 13:00,763.1,1
2018-01-04 13:30,763.9,1
2018-01-04 14:00,763.4,-1
2018-01-04 14:30,767.1,-1
2018-01-05 9:00,762.3,-1
2018-01-05 9:30,759.8,-1
2018-01-05 10:00,759.6,-1
2018-01-05 10:30,761.9,-1
2018-01-05 11:00,761.5,-1
2018-01-05 11:30,761.4,-1
2018-01-05 13:00,760.9,1
2018-01-05 13:30,761.6,1
2018-01-05 14:00,755.6,1
2018-01-05 14:30,758.4,1
2018-01-08 9:00,756.5,1
2018-01-08 9:30,755.3,1
2018-01-08 10:00,756.2,1
2018-01-08 10:30,758,1
2018-01-08 11:00,761.7,1
2018-01-08 13:00,765.6,1
2018-01-08 13:30,763.7,1
2018-01-08 14:00,771.8,1
2018-01-08 14:30,771.8,1
2018-01-09 9:00,775.5,1
2018-01-09 9:30,771.1,1
2018-01-09 10:00,774,1
2018-01-09 10:30,775.4,1
2018-01-09 11:00,774,-1
2018-01-09 11:30,774,-1
2018-01-09 13:00,777.8,-1
2018-01-09 13:30,777.7,-1
2018-01-09 14:00,781.5,-1
2018-01-09 14:30,780.8,-1
2018-01-10 9:00,782,1
2018-01-10 9:30,782,1
2018-01-10 10:00,783.6,1
2018-01-10 10:30,784.9,1
2018-01-10 11:00,784.3,1
2018-01-10 11:30,784.3,1
2018-01-10 13:00,784.1,-1
2018-01-10 13:30,780.8,-1
2018-01-10 14:00,781.6,-1
2018-01-10 14:30,779.3,-1
2018-01-11 9:00,777.1,-1
2018-01-11 9:30,778.3,-1
2018-01-11 10:00,776.3,-1
