datetime,open,high,low,close,volume
2024-05-16 09:30:00,1294.9,1300.4,1294.5,1299.6,2732.0
2024-05-16 10:00:00,1299.8,1308.4,1299.6,1305.9,3553.0
2024-05-16 10:30:00,1305.9,1307.8,1305.2,1307.5,2761.0
2024-05-16 11:00:00,1307.5,1308.0,1304.9,1306.3,2024.0
2024-05-16 11:30:00,1306.4,1306.4,1306.3,1306.4,5.0
2024-05-16 13:00:00,1306.5,1309.5,1305.7,1309.4,2086.0
2024-05-16 13:30:00,1309.6,1310.8,1305.4,1306.8,1929.0
2024-05-16 14:00:00,1306.6,1311.0,1305.0,1309.4,2229.0
2024-05-16 14:30:00,1309.1,1309.8,1309.1,1309.8,9.0
2024-05-17 09:00:00,1306.8,1307.1,1301.9,1303.7,2443.0
2024-05-17 09:30:00,1303.8,1305.9,1303.2,1305.3,2851.0
2024-05-17 10:00:00,1305.4,1306.5,1302.8,1303.1,2665.0
2024-05-17 10:30:00,1303.0,1304.4,1302.0,1303.7,2469.0
2024-05-17 11:00:00,1303.4,1305.7,1303.2,1305.0,2188.0
2024-05-17 11:30:00,1305.0,1305.2,1305.0,1305.2,2.0
2024-05-17 13:00:00,1305.2,1305.7,1303.4,1303.4,2638.0
2024-05-17 13:30:00,1303.3,1305.2,1302.6,1302.6,2074.0
2024-05-17 14:00:00,1302.7,1308.2,1302.2,1306.3,2162.0
2024-05-17 14:30:00,1306.8,1307.9,1306.3,1307.9,28.0
2024-05-20 09:00:00,1314.9,1319.8,1314.1,1317.0,3041.0
2024-05-20 09:30:00,1317.0,1319.0,1317.0,1317.7,2290.0
2024-05-20 10:00:00,1317.7,1318.2,1315.7,1317.9,2253.0
2024-05-20 10:30:00,1317.9,1318.3,1315.2,1316.0,2351.0
2024-05-20 11:00:00,1316.0,1316.1,1311.3,1312.7,2706.0
2024-05-20 11:30:00,1312.8,1312.8,1312.6,1312.6,4.0
2024-05-20 13:00:00,1312.6,1314.3,1312.0,1314.0,2501.0
2024-05-20 13:30:00,1313.8,1314.4,1310.8,1314.0,2429.0
2024-05-20 14:00:00,1314.0,1314.7,1310.2,1313.4,2260.0
2024-05-20 14:30:00,1313.2,1313.4,1310.1,1310.1,10.0
2024-05-21 09:00:00,1307.7,1309.7,1306.7,1308.8,2395.0
2024-05-21 09:30:00,1308.5,1308.7,1306.1,1306.6,2276.0
2024-05-21 10:00:00,1306.6,1308.1,1305.3,1307.9,2342.0
2024-05-21 10:30:00,1307.9,1308.2,1306.0,1306.5,2381.0
2024-05-21 11:00:00,1306.5,1307.3,1305.8,1306.8,2287.0
2024-05-21 11:30:00,1306.8,1307.0,1306.8,1307.0,3.0
2024-05-21 13:00:00,1307.0,1307.5,1304.1,1304.6,2638.0
2024-05-21 13:30:00,1304.7,1305.5,1302.4,1303.1,2404.0
2024-05-21 14:00:00,1303.1,1305.9,1297.2,1305.6,2231.0
2024-05-21 14:30:00,1305.6,1312.1,1305.6,1312.1,9.0
2024-05-22 09:00:00,1310.3,1312.3,1308.2,1310.0,2549.0
2024-05-22 09:30:00,1310.0,1310.1,1306.2,1307.2,2651.0
2024-05-22 10:00:00,1307.2,1307.8,1305.8,1305.8,2377.0
2024-05-22 10:30:00,1305.8,1306.2,1303.3,1303.9,2079.0
2024-05-22 11:00:00,1303.4,1303.6,1297.0,1299.8,2996.0
2024-05-22 11:30:00,1299.8,1299.8,1299.5,1299.5,5.0
2024-05-22 13:00:00,1299.6,1300.8,1297.1,1298.2,2880.0
2024-05-22 13:30:00,1298.0,1298.1,1293.3,1294.7,2162.0
2024-05-22 14:00:00,1294.3,1294.8,1287.5,1292.2,2038.0
2024-05-22 14:30:00,1292.3,1292.3,1292.2,1292.2,3.0
2024-05-23 09:00:00,1289.0,1289.9,1284.7,1288.1,2873.0
2024-05-23 09:30:00,1288.1,1293.8,1288.1,1290.8,3538.0
2024-05-23 10:00:00,1290.9,1292.4,1289.4,1290.4,2869.0
2024-05-23 10:30:00,1290.4,1290.7,1287.1,1288.6,2836.0
2024-05-23 11:00:00,1288.7,1288.9,1283.0,1285.9,2842.0
2024-05-23 11:30:00,1286.0,1286.3,1286.0,1286.3,9.0
2024-05-23 13:00:00,1286.1,1288.8,1285.7,1288.0,2304.0
2024-05-23 13:30:00,1288.2,1293.5,1288.0,1292.8,1896.0
2024-05-23 14:00:00,1292.9,1295.7,1290.2,1294.9,1735.0
2024-05-23 14:30:00,1295.0,1300.0,1295.0,1300.0,8.0
2024-05-24 09:00:00,1293.4,1295.5,1290.7,1292.8,3105.0
2024-05-24 09:30:00,1292.8,1295.9,1291.8,1295.8,3042.0
