datetime,open,high,low,close,volume
2025-06-30 09:10:00,21115.38,21232.68,21115.38,21232.68,171500.0
2025-06-30 09:20:00,21193.58,21506.4,21115.38,21428.2,436100.0
2025-06-30 09:30:00,21389.09,21428.2,21310.89,21349.99,159700.0
2025-06-30 09:40:00,21349.99,21389.09,21271.79,21349.99,107800.0
2025-06-30 09:50:00,21349.99,21389.09,21310.89,21310.89,87200.0
2025-06-30 10:00:00,21349.99,21349.99,21271.79,21310.89,21900.0
2025-06-30 10:10:00,21310.89,21310.89,21271.79,21310.89,17000.0
2025-06-30 10:20:00,21271.79,21271.79,21193.58,21271.79,78400.0
2025-06-30 10:30:00,21271.79,21310.89,21232.68,21232.68,15700.0
2025-06-30 10:40:00,21271.79,21310.89,21271.79,21271.79,27700.0
2025-06-30 10:50:00,21271.79,21310.89,21271.79,21271.79,39400.0
2025-06-30 11:00:00,21271.79,21271.79,21232.68,21232.68,3300.0
2025-06-30 11:10:00,21271.79,21271.79,21232.68,21271.79,47700.0
2025-06-30 11:20:00,21271.79,21271.79,21232.68,21271.79,15300.0
2025-06-30 13:00:00,21232.68,21271.79,21193.58,21232.68,49700.0
2025-06-30 13:10:00,21232.68,21232.68,21193.58,21232.68,31400.0
2025-06-30 13:20:00,21193.58,21232.68,21193.58,21193.58,20000.0
2025-06-30 13:30:00,21232.68,21232.68,21193.58,21193.58,71100.0
2025-06-30 13:40:00,21232.68,21232.68,21154.48,21193.58,18600.0
2025-06-30 13:50:00,21193.58,21193.58,21154.48,21193.58,51800.0
2025-06-30 14:00:00,21154.48,21193.58,21115.38,21115.38,56600.0
2025-06-30 14:10:00,21115.38,21115.38,20998.07,21037.17,119700.0
2025-06-30 14:20:00,21037.17,21115.38,21037.17,21115.38,25700.0
2025-06-30 14:40:00,20958.97,20958.97,20958.97,20958.97,68300.0
2025-07-01 09:10:00,21115.38,21154.48,21076.27,21076.27,13200.0
2025-07-01 09:20:00,21076.27,21115.38,20919.86,20958.97,56400.0
2025-07-01 09:30:00,20958.97,21076.27,20958.97,20998.07,21100.0
2025-07-01 09:40:00,20998.07,20998.07,20958.97,20958.97,34600.0
2025-07-01 09:50:00,20958.97,20998.07,20919.86,20919.86,29900.0
2025-07-01 10:00:00,20919.86,20958.97,20919.86,20919.86,23200.0
2025-07-01 10:10:00,20919.86,20998.07,20919.86,20998.07,14700.0
2025-07-01 10:20:00,20998.07,21037.17,20998.07,20998.07,25200.0
2025-07-01 10:30:00,20998.07,20998.07,20919.86,20919.86,51000.0
2025-07-01 10:40:00,20919.86,20919.86,20880.76,20880.76,49000.0
2025-07-01 10:50:00,20841.66,20880.76,20763.45,20763.45,81500.0
2025-07-01 11:00:00,20763.45,20763.45,20685.25,20724.35,151500.0
2025-07-01 11:10:00,20724.35,20763.45,20685.25,20724.35,92300.0
2025-07-01 11:20:00,20724.35,20763.45,20724.35,20763.45,20900.0
2025-07-01 13:00:00,20763.45,20763.45,20685.25,20724.35,123700.0
2025-07-01 13:10:00,20724.35,20763.45,20724.35,20763.45,44600.0
2025-07-01 13:20:00,20802.56,20841.66,20802.56,20802.56,36600.0
2025-07-01 13:30:00,20802.56,20841.66,20763.45,20802.56,46800.0
2025-07-01 13:40:00,20802.56,20802.56,20724.35,20763.45,74000.0
2025-07-01 13:50:00,20763.45,20763.45,20724.35,20763.45,46200.0
2025-07-01 14:00:00,20724.35,20724.35,20646.15,20646.15,197700.0
2025-07-01 14:10:00,20607.04,20685.25,20607.04,20646.15,108500.0
2025-07-01 14:20:00,20646.15,20802.56,20646.15,20802.56,129900.0
2025-07-01 14:40:00,20646.15,20646.15,20646.15,20646.15,118500.0
2025-07-02 09:10:00,20646.15,20724.35,20646.15,20685.25,35800.0
2025-07-02 09:20:00,20724.35,20724.35,20646.15,20724.35,25600.0
2025-07-02 09:30:00,20724.35,20724.35,20685.25,20685.25,21500.0
2025-07-02 09:40:00,20685.25,20685.25,20646.15,20685.25,29000.0
2025-07-02 09:50:00,20685.25,20685.25,20646.15,20685.25,22900.0
2025-07-02 10:00:00,20685.25,20685.25,20646.15,20646.15,7900.0
2025-07-02 10:10:00,20685.25,20685.25,20646.15,20685.25,32200.0
2025-07-02 10:20:00,20646.15,20685.25,20646.15,20685.25,36100.0
2025-07-02 10:30:00,20724.35,20763.45,20724.35,20763.45,8000.0
2025-07-02 10:40:00,20763.45,20763.45,20724.35,20763.45,30100.0
2025-07-02 10:50:00,20802.56,20919.86,20802.56,20880.76,40000.0
2025-07-02 11:00:00,20880.76,20958.97,20880.76,20958.97,81700.0
2025-07-02 11:10:00,20958.97,21037.17,20919.86,20958.97,106600.0
2025-07-02 11:20:00,20958.97,20958.97,20919.86,20958.97,29000.0
2025-07-02 13:00:00,20958.97,20998.07,20919.86,20998.07,49100.0
2025-07-02 13:10:00,20998.07,21076.27,20958.97,21076.27,155700.0
2025-07-02 13:20:00,21076.27,21076.27,21037.17,21037.17,120400.0
2025-07-02 13:30:00,21037.17,21310.89,20958.97,21271.79,497300.0
2025-07-02 13:40:00,21271.79,21271.79,21154.48,21232.68,270500.0
2025-07-02 13:50:00,21232.68,21545.51,21232.68,21545.51,975100.0
2025-07-02 14:00:00,21545.51,22053.84,21545.51,22014.74,1285900.0
2025-07-02 14:10:00,22014.74,22014.74,21741.02,21780.12,470600.0
2025-07-02 14:20:00,21780.12,22014.74,21701.92,22014.74,267300.0
2025-07-02 14:40:00,22053.84,22053.84,22053.84,22053.84,660400.0
2025-07-03 09:10:00,22053.84,22092.94,21858.33,21975.63,183700.0
2025-07-03 09:20:00,21975.63,22523.07,21975.63,22288.45,325200.0
2025-07-03 09:30:00,22288.45,22366.66,22249.35,22288.45,135400.0
2025-07-03 09:40:00,22288.45,22288.45,22092.94,22092.94,41200.0
2025-07-03 09:50:00,22092.94,22132.04,22092.94,22132.04,41500.0
2025-07-03 10:00:00,22132.04,22249.35,22132.04,22249.35,49800.0
2025-07-03 10:10:00,22249.35,22249.35,22171.15,22171.15,12100.0
2025-07-03 10:20:00,22132.04,22132.04,22092.94,22092.94,39000.0
2025-07-03 10:30:00,22092.94,22132.04,22092.94,22132.04,21400.0
2025-07-03 10:40:00,22132.04,22210.25,22092.94,22210.25,40200.0
2025-07-03 10:50:00,22210.25,22366.66,22210.25,22327.56,206400.0
2025-07-03 11:00:00,22366.66,22444.86,22327.56,22405.76,95100.0
2025-07-03 11:10:00,22405.76,22483.97,22366.66,22483.97,82200.0
2025-07-03 11:20:00,22483.97,22483.97,22444.86,22483.97,75600.0
2025-07-03 13:00:00,22444.86,22483.97,22405.76,22483.97,300700.0
2025-07-03 13:10:00,22483.97,22562.17,22483.97,22523.07,316000.0
2025-07-03 13:20:00,22523.07,22523.07,22405.76,22483.97,135400.0
2025-07-03 13:30:00,22483.97,22483.97,22405.76,22405.76,128600.0
2025-07-03 13:40:00,22405.76,22405.76,22249.35,22249.35,129100.0
2025-07-03 13:50:00,22249.35,22249.35,22014.74,22132.04,214100.0
2025-07-03 14:00:00,22132.04,22288.45,22053.84,22171.15,182800.0
2025-07-03 14:10:00,22132.04,22210.25,22014.74,22014.74,71000.0
2025-07-03 14:20:00,21975.63,22014.74,21115.38,21975.63,394600.0
2025-07-03 14:40:00,21897.43,21897.43,21897.43,21897.43,87600.0
2025-07-04 09:10:00,22210.25,22210.25,22132.04,22171.15,37000.0
2025-07-04 09:20:00,22171.15,22249.35,22092.94,22210.25,51500.0
2025-07-04 09:30:00,22210.25,22210.25,22014.74,22014.74,17900.0
2025-07-04 09:40:00,22014.74,22014.74,21975.63,21975.63,39800.0
2025-07-04 09:50:00,21975.63,22014.74,21975.63,21975.63,25300.0
2025-07-04 10:00:00,21975.63,22053.84,21975.63,22053.84,88900.0
2025-07-04 10:10:00,22053.84,22053.84,22014.74,22053.84,8500.0
2025-07-04 10:20:00,22014.74,22053.84,22014.74,22014.74,28000.0
2025-07-04 10:30:00,22014.74,22014.74,21936.53,21936.53,43900.0
2025-07-04 10:40:00,21975.63,21975.63,21936.53,21936.53,32100.0
2025-07-04 10:50:00,21936.53,21975.63,21936.53,21975.63,36200.0
2025-07-04 11:00:00,21975.63,22053.84,21975.63,22014.74,16400.0
2025-07-04 11:10:00,22014.74,22053.84,21975.63,22014.74,22300.0
2025-07-04 11:20:00,22014.74,22014.74,21975.63,21975.63,23200.0
2025-07-04 13:00:00,21975.63,21975.63,21858.33,21897.43,220100.0
2025-07-04 13:10:00,21897.43,22014.74,21819.22,21975.63,137300.0
2025-07-04 13:20:00,21975.63,21975.63,21819.22,21819.22,111100.0
2025-07-04 13:30:00,21858.33,21858.33,21701.92,21741.02,139800.0
2025-07-04 13:40:00,21741.02,21819.22,21701.92,21701.92,164400.0
2025-07-04 13:50:00,21701.92,21741.02,21662.81,21701.92,128600.0
2025-07-04 14:00:00,21741.02,21858.33,21741.02,21780.12,135400.0
2025-07-04 14:10:00,21780.12,21780.12,21741.02,21741.02,95300.0
2025-07-04 14:20:00,21780.12,21858.33,21741.02,21780.12,132300.0
2025-07-04 14:40:00,21858.33,21858.33,21858.33,21858.33,112900.0
2025-07-07 09:10:00,22132.04,22132.04,22014.74,22092.94,71200.0
2025-07-07 09:20:00,22053.84,22092.94,21975.63,21975.63,56200.0
2025-07-07 09:30:00,21975.63,21975.63,21897.43,21936.53,102500.0
2025-07-07 09:40:00,21975.63,22014.74,21936.53,22014.74,79800.0
2025-07-07 09:50:00,22014.74,22014.74,21858.33,21897.43,114000.0
2025-07-07 10:00:00,21897.43,22092.94,21858.33,22092.94,94800.0
2025-07-07 10:10:00,22092.94,22210.25,22092.94,22210.25,105300.0
2025-07-07 10:20:00,22210.25,22210.25,22014.74,22053.84,67700.0
2025-07-07 10:30:00,22053.84,22092.94,21975.63,22053.84,53800.0
2025-07-07 10:40:00,21975.63,22092.94,21975.63,22092.94,22500.0
2025-07-07 10:50:00,22053.84,22092.94,22014.74,22014.74,25200.0
2025-07-07 11:00:00,22053.84,22092.94,22014.74,22053.84,54900.0
2025-07-07 11:10:00,22092.94,22092.94,22014.74,22053.84,35000.0
2025-07-07 11:20:00,22014.74,22053.84,22014.74,22053.84,15500.0
2025-07-07 13:00:00,22014.74,22053.84,21936.53,21936.53,97300.0
2025-07-07 13:10:00,21975.63,21975.63,21897.43,21975.63,96100.0
2025-07-07 13:20:00,21936.53,21975.63,21897.43,21975.63,127300.0
2025-07-07 13:30:00,21975.63,21975.63,21858.33,21897.43,156700.0
2025-07-07 13:40:00,21897.43,21897.43,21780.12,21819.22,278600.0
2025-07-07 13:50:00,21819.22,21819.22,21623.71,21662.81,388900.0
2025-07-07 14:00:00,21662.81,21780.12,21623.71,21780.12,213700.0
2025-07-07 14:10:00,21780.12,21858.33,21741.02,21858.33,91200.0
2025-07-07 14:20:00,21858.33,21897.43,21780.12,21819.22,161800.0
2025-07-07 14:40:00,21819.22,21819.22,21819.22,21819.22,53300.0
2025-07-08 09:10:00,21975.63,22092.94,21975.63,22053.84,50400.0
2025-07-08 09:20:00,22053.84,22053.84,21975.63,21975.63,94500.0
2025-07-08 09:30:00,21975.63,21975.63,21897.43,21897.43,116000.0
2025-07-08 09:40:00,21897.43,22444.86,21897.43,22366.66,617700.0
2025-07-08 09:50:00,22366.66,22405.76,22288.45,22327.56,134600.0
