datetime,open,high,low,close,volume
2024-01-02 09:00:00,1138.5,1141.8,1131.0,1133.5,167307.0
2024-01-03 09:00:00,1130.5,1148.3,1126.4,1148.3,173569.0
2024-01-04 09:00:00,1146.0,1171.6,1145.5,1156.5,260804.0
2024-01-05 09:00:00,1156.1,1166.0,1154.2,1166.0,199452.0
2024-01-08 09:00:00,1166.4,1173.4,1160.5,1162.0,182329.0
2024-01-09 09:00:00,1166.0,1166.0,1158.6,1163.0,149850.0
2024-01-10 09:00:00,1162.8,1170.8,1159.3,1163.1,202057.0
2024-01-11 09:00:00,1165.0,1176.7,1162.8,1168.1,208571.0
2024-01-12 09:00:00,1165.9,1169.8,1151.0,1165.9,292209.0
2024-01-15 09:00:00,1168.9,1175.4,1162.7,1162.7,168219.0
2024-01-16 09:00:00,1158.0,1172.0,1157.5,1172.0,175939.0
2024-01-17 09:00:00,1171.1,1180.0,1164.3,1166.0,228003.0
2024-01-18 09:00:00,1168.1,1177.8,1165.8,1172.8,171101.0
2024-01-19 09:00:00,1181.0,1190.0,1180.3,1190.0,188161.0
2024-01-22 09:00:00,1194.8,1196.4,1186.0,1194.0,169558.0
2024-01-23 09:00:00,1192.7,1194.6,1180.5,1184.0,179695.0
2024-01-24 09:00:00,1183.4,1190.5,1178.8,1180.7,201972.0
2024-01-25 09:00:00,1181.0,1184.0,1175.0,1180.5,182856.0
2024-01-26 09:00:00,1182.9,1189.0,1181.0,1187.0,155805.0
2024-01-29 09:00:00,1188.6,1189.5,1181.6,1183.6,114408.0
2024-01-30 09:00:00,1184.0,1187.3,1182.7,1186.0,81386.0
2024-01-31 09:00:00,1186.2,1188.5,1165.6,1171.0,177010.0
2024-02-01 09:00:00,1168.9,1180.5,1168.6,1177.2,160396.0
2024-02-02 09:00:00,1179.9,1182.4,1174.8,1181.1,132910.0
2024-02-05 09:00:00,1182.6,1213.9,1181.3,1202.5,170249.0
2024-02-06 09:00:00,1201.4,1206.0,1200.5,1203.9,111601.0
2024-02-07 09:00:00,1206.7,1219.8,1205.2,1219.0,136049.0
2024-02-15 09:00:00,1224.9,1227.9,1217.8,1217.8,103152.0
2024-02-16 09:00:00,1225.6,1232.3,1222.6,1232.0,130613.0
2024-02-19 09:00:00,1231.6,1243.9,1230.5,1240.5,146806.0
2024-02-20 09:00:00,1241.4,1243.9,1237.4,1240.2,133487.0
2024-02-21 09:00:00,1235.2,1248.3,1235.1,1240.0,195135.0
2024-02-22 09:00:00,1240.1,1242.6,1235.5,1238.0,133024.0
2024-02-23 09:00:00,1240.5,1254.0,1225.0,1225.1,271852.0
2024-02-26 09:00:00,1228.8,1231.5,1222.1,1230.3,143409.0
2024-02-27 09:00:00,1231.0,1242.5,1230.3,1241.0,179208.0
2024-02-28 09:00:00,1242.9,1266.2,1241.4,1266.2,224084.0
2024-02-29 09:00:00,1266.2,1271.5,1255.0,1262.8,218472.0
2024-03-01 09:00:00,1265.0,1269.0,1259.1,1266.8,182964.0
2024-03-04 09:00:00,1270.2,1272.0,1263.3,1268.4,155236.0
2024-03-05 09:00:00,1267.0,1279.0,1264.1,1278.5,173437.0
2024-03-06 09:00:00,1276.9,1282.0,1255.1,1266.8,248155.0
2024-03-07 09:00:00,1267.8,1278.4,1264.2,1273.4,226526.0
2024-03-08 09:00:00,1274.5,1276.0,1248.7,1253.8,341569.0
2024-03-11 09:00:00,1250.3,1254.6,1230.8,1231.0,220566.0
2024-03-12 09:00:00,1232.9,1243.0,1232.0,1239.8,228488.0
2024-03-13 09:00:00,1241.0,1273.9,1240.2,1271.3,245044.0
2024-03-14 09:00:00,1271.6,1273.0,1252.5,1260.8,253064.0
2024-03-15 09:00:00,1257.1,1268.0,1241.3,1260.0,297841.0
2024-03-18 09:00:00,1257.9,1259.8,1218.4,1230.9,349568.0
2024-03-19 09:00:00,1232.8,1235.8,1224.2,1230.0,255708.0
2024-03-20 09:00:00,1233.0,1262.0,1228.0,1255.5,289691.0
2024-03-21 09:00:00,1260.2,1276.0,1260.2,1275.7,179921.0
2024-03-22 09:00:00,1287.0,1294.7,1275.7,1284.5,270641.0
2024-03-25 09:00:00,1281.0,1288.0,1267.2,1268.9,225890.0
2024-03-26 09:00:00,1268.0,1290.9,1265.5,1285.0,210720.0
2024-03-27 09:00:00,1286.0,1289.4,1279.6,1288.0,194509.0
2024-03-28 09:00:00,1294.0,1306.9,1293.7,1306.9,196707.0
2024-03-29 09:00:00,1306.7,1307.6,1295.3,1298.1,188233.0
2024-04-01 09:00:00,1292.2,1299.5,1283.0,1290.4,223772.0
2024-04-02 09:00:00,1285.0,1292.0,1274.1,1290.0,270424.0
2024-04-03 09:00:00,1284.8,1288.2,1269.1,1271.9,241517.0
2024-04-04 09:00:00,1275.6,1280.3,1265.0,1265.0,260485.0
2024-04-05 09:00:00,1254.0,1265.0,1251.2,1252.1,229109.0
2024-04-08 09:00:00,1256.1,1259.6,1247.2,1254.2,214820.0
2024-04-09 09:00:00,1258.0,1264.3,1254.2,1264.2,167195.0
2024-04-10 09:00:00,1265.0,1272.9,1258.9,1260.1,200459.0
2024-04-11 09:00:00,1250.8,1265.1,1250.8,1263.0,193451.0
2024-04-12 09:00:00,1265.5,1286.0,1260.1,1286.0,255196.0
2024-04-15 09:00:00,1281.5,1286.9,1232.0,1236.3,310619.0
2024-04-16 09:00:00,1234.9,1237.9,1212.4,1230.0,385513.0
2024-04-17 09:00:00,1233.8,1233.9,1206.5,1214.6,244121.0
2024-04-19 09:00:00,1200.1,1211.7,1191.7,1191.7,343787.0
2024-04-22 09:00:00,1200.0,1215.5,1200.0,1205.3,276424.0
2024-04-23 09:00:00,1210.0,1212.5,1187.0,1200.6,304445.0
2024-04-24 09:00:00,1208.0,1234.5,1207.1,1230.5,297553.0
