Datetime,Close,Position
2018-01-02 09:00:00,736.4,0.0
2018-01-02 09:30:00,735.8,0.0
2018-01-02 10:00:00,737.0,0.0
2018-01-02 10:30:00,737.9,0.0
2018-01-02 11:00:00,738.9,0.0
2018-01-02 11:30:00,738.9,0.0
2018-01-02 13:00:00,740.6,0.0
2018-01-02 13:30:00,741.6,0.0
2018-01-02 14:00:00,746.5,0.0
2018-01-02 14:30:00,748.5,0.0
2018-01-03 09:00:00,753.3,0.0
2018-01-03 09:30:00,754.2,0.0
2018-01-03 10:00:00,754.9,0.0
2018-01-03 10:30:00,754.2,0.0
2018-01-03 11:00:00,757.6,0.0
2018-01-03 11:30:00,757.8,0.0
2018-01-03 13:00:00,758.6,0.0
2018-01-03 13:30:00,756.5,0.0
2018-01-03 14:00:00,756.3,0.0
2018-01-03 14:30:00,758.9,0.0
2018-01-04 09:00:00,760.3,0.0
2018-01-04 09:30:00,760.9,0.0
2018-01-04 10:00:00,761.2,0.0
2018-01-04 10:30:00,762.3,0.0
2018-01-04 11:00:00,762.7,0.0
2018-01-04 11:30:00,763.1,1.0
2018-01-04 13:00:00,763.1,1.0
2018-01-04 13:30:00,763.9,1.0
2018-01-04 14:00:00,763.4,0.0
2018-01-04 14:30:00,767.1,0.0
2018-01-05 09:00:00,762.3,0.0
2018-01-05 09:30:00,759.8,0.0
2018-01-05 10:00:00,759.6,0.0
2018-01-05 10:30:00,761.9,0.0
2018-01-05 11:00:00,761.5,0.0
2018-01-05 11:30:00,761.4,0.0
2018-01-05 13:00:00,760.9,0.0
2018-01-05 13:30:00,761.6,0.0
2018-01-05 14:00:00,755.6,0.0
2018-01-05 14:30:00,758.4,0.0
2018-01-08 09:00:00,756.5,1.0
2018-01-08 09:30:00,755.3,0.0
2018-01-08 10:00:00,756.2,0.0
2018-01-08 10:30:00,758.0,0.0
2018-01-08 11:00:00,761.7,1.0
2018-01-08 11:30:00,761.9,1.0
2018-01-08 13:00:00,765.6,1.0
2018-01-08 13:30:00,763.7,1.0
2018-01-08 14:00:00,771.8,1.0
2018-01-08 14:30:00,771.8,1.0
2018-01-09 09:00:00,775.5,1.0
2018-01-09 09:30:00,771.1,1.0
2018-01-09 10:00:00,774.0,1.0
2018-01-09 10:30:00,775.4,0.0
2018-01-09 11:00:00,774.0,0.0
2018-01-09 11:30:00,774.0,0.0
2018-01-09 13:00:00,777.8,0.0
2018-01-09 13:30:00,777.7,0.0
2018-01-09 14:00:00,781.5,0.0
2018-01-09 14:30:00,780.8,0.0
2018-01-10 09:00:00,782.0,1.0
2018-01-10 09:30:00,782.0,1.0
2018-01-10 10:00:00,783.6,1.0
2018-01-10 10:30:00,784.9,1.0
2018-01-10 11:00:00,784.3,1.0
